oa_code,All people aged 16 to 64 in households,AB Higher and intermediate managerial/administrative/professional,"C1 Supervisory, clerical, junior managerial/administrative/professional",C2 Skilled manual workers,"DE Semi-skilled and unskilled manual workers; on state benefit, unemployed, lowest grade workers"
S00089159,59,13,30,8,8
S00089160,70,3,23,26,18
S00089161,64,8,10,19,27
S00089162,49,4,12,7,26
S00089163,79,4,25,27,23
S00089164,46,0,9,16,21
S00089165,67,10,24,10,23
S00089166,85,5,31,25,24
S00089167,77,7,27,17,26
S00089168,4,0,2,1,1
S00089169,73,7,16,15,35
S00089170,53,4,13,17,19
S00089171,42,2,8,10,22
S00089172,40,5,12,13,10
S00089173,96,9,24,28,35
S00089174,98,15,27,28,28
S00089175,83,8,24,11,40
S00089176,77,15,20,31,11
S00089177,87,2,30,23,32
S00089178,90,12,29,22,27
S00089179,112,15,26,41,30
S00089180,90,2,25,31,32
S00089181,59,8,17,21,13
S00089182,84,15,23,27,19
S00089183,67,5,14,29,19
S00089184,92,51,20,17,4
S00089185,87,51,18,7,11
S00089186,81,33,32,10,6
S00089187,50,31,15,2,2
S00089188,101,56,23,19,3
S00089189,100,56,26,14,4
S00089190,93,64,16,7,6
S00089191,110,52,35,17,6
S00089192,94,52,21,19,2
S00089193,117,65,33,17,2
S00089194,88,39,31,10,8
S00089195,90,61,15,11,3
S00089196,79,46,22,6,5
S00089197,76,37,30,4,5
S00089198,61,36,20,3,2
S00089199,48,17,14,11,6
S00089200,44,24,17,2,1
S00089201,64,33,18,3,10
S00089202,104,46,31,16,11
S00089203,134,70,32,16,16
S00089204,97,68,16,12,1
S00089205,78,28,31,15,4
S00089206,77,46,18,7,6
S00089207,68,31,22,6,9
S00089208,69,20,29,12,8
S00089209,64,30,24,9,1
S00089210,72,21,32,10,9
S00089211,66,19,27,7,13
S00089212,98,15,55,17,11
S00089213,63,19,33,5,6
S00089214,59,19,18,15,7
S00089215,56,11,30,7,8
S00089216,91,25,36,11,19
S00089217,70,18,20,11,21
S00089218,117,26,42,16,33
S00089219,75,24,32,9,10
S00089220,58,24,19,6,9
S00089221,120,52,47,11,10
S00089222,80,33,26,11,10
S00089223,54,16,23,8,7
S00089224,103,34,30,21,18
S00089225,54,22,20,5,7
S00089226,50,20,22,6,2
S00089227,116,32,54,16,14
S00089228,66,28,24,8,6
S00089229,74,32,32,3,7
S00089230,73,35,24,4,10
S00089231,76,24,27,9,16
S00089232,67,28,20,12,7
S00089233,55,41,3,9,2
S00089234,68,45,13,9,1
S00089235,95,30,47,5,13
S00089236,74,23,27,17,7
S00089237,77,44,22,8,3
S00089238,88,31,30,12,15
S00089239,73,42,18,9,4
S00089240,116,53,49,8,6
S00089241,34,8,17,3,6
S00089242,85,40,27,9,9
S00089243,72,42,14,10,6
S00089244,70,35,22,7,6
S00089245,50,21,21,5,3
S00089246,56,26,17,11,2
S00089247,95,42,38,12,3
S00089248,147,50,67,20,10
S00089249,69,47,16,5,1
S00089250,54,27,19,6,2
S00089251,63,34,20,5,4
S00089252,74,38,18,13,5
S00089253,87,28,36,15,8
S00089254,87,46,20,21,0
S00089255,88,32,36,16,4
S00089256,76,25,24,18,9
S00089257,71,41,15,10,5
S00089258,76,30,31,11,4
S00089259,62,21,24,7,10
S00089260,94,51,24,15,4
S00089261,124,45,57,17,5
S00089262,85,30,34,10,11
S00089263,85,27,30,20,8
S00089264,107,43,42,6,16
S00089265,79,18,39,14,8
S00089266,80,31,29,11,9
S00089267,76,19,31,15,11
S00089268,100,34,40,12,14
S00089269,85,40,16,24,5
S00089270,102,32,43,18,9
S00089271,59,27,30,2,0
S00089272,44,21,16,7,0
S00089273,88,26,33,17,12
S00089274,111,38,29,31,13
S00089275,5,0,3,0,2
S00089276,54,8,24,10,12
S00089277,119,33,42,40,4
S00089278,3,0,2,0,1
S00089279,51,18,20,9,4
S00089280,38,8,16,13,1
S00089281,64,22,27,6,9
S00089282,43,20,9,9,5
S00089283,40,18,13,5,4
S00089284,62,17,29,14,2
S00089285,106,46,41,17,2
S00089286,98,18,50,14,16
S00089287,21,3,10,5,3
S00089288,55,14,18,9,14
S00089289,76,5,13,32,26
S00089290,41,3,12,19,7
S00089291,59,12,18,14,15
S00089292,56,6,22,20,8
S00089293,123,24,54,16,29
S00089294,118,19,53,32,14
S00089295,117,10,28,42,37
S00089296,105,12,32,27,34
S00089297,60,5,17,12,26
S00089298,73,16,25,14,18
S00089299,27,3,8,6,10
S00089300,65,10,20,16,19
S00089301,67,17,22,17,11
S00089302,65,7,23,24,11
S00089303,132,15,45,28,44
S00089304,106,11,30,33,32
S00089305,35,2,9,14,10
S00089306,83,14,26,7,36
S00089307,61,4,20,17,20
S00089308,45,11,9,16,9
S00089309,110,12,34,26,38
S00089310,117,13,43,23,38
S00089311,68,11,19,13,25
S00089312,110,40,49,17,4
S00089313,78,39,15,15,9
S00089314,106,40,38,11,17
S00089315,69,32,18,17,2
S00089316,65,40,13,11,1
S00089317,61,20,33,3,5
S00089318,67,28,33,6,0
S00089319,84,29,30,20,5
S00089320,84,42,17,20,5
S00089321,44,20,8,4,12
S00089322,68,20,31,14,3
S00089323,45,10,28,6,1
S00089324,41,14,10,6,11
S00089325,66,25,24,8,9
S00089326,71,31,24,16,0
S00089327,63,25,27,9,2
S00089328,45,17,13,12,3
S00089329,49,24,8,12,5
S00089330,93,56,24,6,7
S00089331,90,26,42,15,7
S00089332,111,54,32,20,5
S00089333,103,46,39,14,4
S00089334,91,38,49,3,1
S00089335,96,43,26,16,11
S00089336,61,25,25,5,6
S00089337,38,7,15,14,2
S00089338,87,38,27,18,4
S00089339,83,39,34,9,1
S00089340,55,27,12,12,4
S00089341,44,13,18,9,4
S00089342,7,0,3,3,1
S00089343,55,13,20,15,7
S00089344,44,12,12,8,12
