oa_code,All people aged 16 to 64 in households,AB Higher and intermediate managerial/administrative/professional,"C1 Supervisory, clerical, junior managerial/administrative/professional",C2 Skilled manual workers,"DE Semi-skilled and unskilled manual workers; on state benefit, unemployed, lowest grade workers"
S00095796,41,5,13,14,9
S00095797,41,10,12,8,11
S00095798,55,8,16,18,13
S00095799,27,1,6,11,9
S00095800,72,9,20,25,18
S00095801,95,6,39,34,16
S00095802,112,7,23,37,45
S00095803,58,16,18,13,11
S00095804,67,14,22,20,11
S00095805,65,33,19,10,3
S00095806,60,8,30,10,12
S00095807,54,10,19,18,7
S00095808,84,21,19,23,21
S00095809,40,1,6,18,15
S00095810,52,11,9,6,26
S00095811,69,11,18,14,26
S00095812,92,10,28,30,24
S00095813,52,18,20,9,5
S00095814,40,17,22,0,1
S00095815,71,27,17,10,17
S00095816,71,36,24,6,5
S00095817,35,18,12,3,2
S00095818,57,27,21,5,4
S00095819,35,2,8,17,8
S00095820,44,15,11,4,14
S00095821,49,13,12,12,12
S00095822,42,15,15,6,6
S00095823,84,20,34,20,10
S00095824,94,31,18,30,15
S00095825,55,36,18,0,1
S00095826,36,7,8,18,3
S00095827,40,8,8,18,6
S00095828,80,10,25,28,17
S00095829,78,12,22,24,20
S00095830,45,9,10,10,16
S00095831,110,42,43,14,11
S00095832,118,62,43,8,5
S00095833,52,10,19,19,4
S00095834,73,16,33,18,6
S00095835,37,7,15,8,7
S00095836,98,33,38,24,3
S00095837,84,31,33,11,9
S00095838,83,19,39,15,10
S00095839,97,31,36,16,14
S00095840,88,42,28,13,5
S00095841,112,41,26,25,20
S00095842,87,25,44,11,7
S00095843,103,71,15,10,7
S00095844,99,47,18,26,8
S00095845,69,47,1,12,9
S00095846,98,14,28,29,27
S00095847,86,9,30,13,34
S00095848,53,16,15,11,11
S00095849,73,24,28,2,19
S00095850,28,11,4,9,4
S00095851,78,8,18,17,35
S00095852,74,11,9,19,35
S00095853,77,3,24,16,34
S00095854,55,9,11,11,24
S00095855,72,2,9,20,41
S00095856,76,2,8,19,47
S00095857,68,9,7,11,41
S00095858,75,2,17,19,37
S00095859,43,2,11,8,22
S00095860,60,0,8,17,35
S00095861,89,2,22,16,49
S00095862,125,3,16,20,86
S00095863,71,0,3,10,58
S00095864,71,1,12,28,30
S00095865,73,17,11,17,28
S00095866,70,16,22,21,11
S00095867,93,20,21,34,18
S00095868,83,2,26,20,35
S00095869,91,8,6,17,60
S00095870,87,3,5,16,63
S00095871,106,33,41,23,9
S00095872,56,0,15,22,19
S00095873,116,23,37,40,16
S00095874,96,22,39,20,15
S00095875,89,1,26,34,28
S00095876,106,22,43,23,18
S00095877,49,3,7,13,26
S00095878,164,33,76,35,20
S00095879,93,10,33,20,30
S00095880,72,4,18,18,32
S00095881,40,0,10,16,14
S00095882,115,32,33,27,23
S00095883,85,6,13,37,29
S00095884,83,1,16,26,40
S00095885,75,11,14,22,28
S00095886,89,9,20,22,38
S00095887,106,4,21,35,46
S00095888,59,0,22,23,14
S00095889,47,9,9,12,17
S00095890,42,16,11,9,6
S00095891,64,23,10,20,11
S00095892,66,21,25,16,4
S00095893,68,16,21,16,15
S00095894,75,30,28,13,4
S00095895,132,7,31,30,64
S00095896,52,26,17,9,0
S00095897,84,5,20,32,27
S00095898,73,9,22,12,30
S00095899,53,3,20,11,19
S00095900,49,4,19,9,17
S00095901,64,1,25,12,26
S00095902,66,10,16,7,33
S00095903,55,12,18,8,17
S00095904,56,8,19,12,17
S00095905,73,19,26,18,10
S00095906,81,8,26,32,15
S00095907,128,40,25,41,22
S00095908,44,4,9,12,19
S00095909,29,0,6,8,15
S00095910,30,4,5,11,10
S00095911,91,13,21,30,27
S00095912,112,24,33,42,13
S00095913,70,3,14,18,35
S00095914,60,3,14,21,22
S00095915,56,4,10,17,25
S00095916,85,5,35,23,22
S00095917,63,6,11,20,26
S00095918,84,5,24,21,34
S00095919,43,0,7,19,17
S00095920,77,3,13,46,15
S00095921,33,9,9,5,10
S00095922,41,1,8,11,21
S00095923,104,10,45,29,20
S00095924,96,6,23,23,44
S00095925,83,8,10,34,31
S00095926,82,15,40,26,1
S00095927,85,6,14,37,28
S00095928,96,22,30,33,11
S00095929,86,16,37,19,14
S00095930,81,4,33,29,15
S00095931,94,3,17,34,40
S00095932,68,10,8,15,35
S00095933,94,4,22,28,40
S00095934,73,22,24,18,9
S00095935,61,3,9,17,32
S00095936,92,0,9,18,65
S00095937,90,3,13,28,46
S00095938,99,17,23,32,27
S00095939,104,5,33,21,45
S00095940,104,4,24,25,51
S00095941,102,6,20,10,66
S00095942,79,10,4,28,37
S00095943,85,3,27,23,32
S00095944,53,0,9,20,24
S00095945,88,6,24,24,34
S00095946,91,3,28,27,33
S00095947,119,4,10,30,75
S00095948,40,1,10,12,17
S00095949,81,2,13,27,39
S00095950,97,4,4,23,66
S00095951,86,5,30,12,39
S00095952,71,3,10,14,44
S00095953,57,1,9,7,40
S00095954,44,0,7,9,28
S00095955,77,6,23,15,33
S00095956,109,1,15,38,55
S00095957,76,2,16,27,31
S00095958,94,8,18,28,40
S00095959,96,13,35,31,17
S00095960,50,7,12,22,9
S00095961,76,9,16,16,35
S00095962,46,3,10,12,21
S00095963,67,3,27,15,22
S00095964,86,24,18,20,24
S00095965,94,4,19,24,47
S00095966,44,0,16,6,22
S00095967,69,6,6,16,41
S00095968,124,4,39,37,44
S00095969,75,3,12,14,46
S00095970,84,10,12,22,40
S00095971,51,2,5,18,26
S00095972,73,0,13,21,39
S00095973,69,2,10,16,41
S00095974,63,3,8,27,25
S00095975,74,6,11,24,33
S00095976,96,8,14,24,50
S00095977,43,7,19,4,13
S00095978,84,5,17,21,41
S00095979,129,6,28,31,64
S00095980,116,4,17,35,60
S00095981,104,7,18,23,56
S00095982,61,10,13,22,16
S00095983,79,4,18,16,41
S00095984,113,28,36,28,21
S00095985,84,11,11,41,21
S00095986,88,4,24,27,33
S00095987,73,0,10,29,34
S00095988,77,5,17,21,34
S00095989,77,9,13,23,32
S00095990,74,3,13,18,40
S00095991,45,1,9,5,30
S00095992,75,4,13,16,42
S00095993,106,3,8,30,65
S00095994,55,1,10,7,37
S00095995,129,11,26,28,64
S00095996,80,3,7,22,48
S00095997,96,11,36,18,31
S00095998,73,14,29,11,19
S00095999,80,8,16,27,29
S00096000,77,5,6,43,23
S00096001,145,9,17,31,88
S00096002,62,11,9,14,28
S00096003,91,2,26,28,35
S00096004,87,8,30,10,39
S00096005,60,7,12,17,24
S00096006,82,10,18,35,19
S00096007,65,11,10,20,24
S00096008,63,8,19,21,15
S00096009,119,20,57,30,12
S00096010,111,4,25,31,51
S00096011,90,5,20,24,41
S00096012,57,2,11,13,31
S00096013,56,4,12,22,18
S00096014,79,8,20,25,26
S00096015,72,8,18,15,31
S00096016,108,20,39,28,21
S00096017,64,7,9,15,33
S00096018,76,3,29,25,19
S00096019,93,19,27,25,22
S00096020,46,22,9,9,6
S00096021,75,1,18,21,35
S00096022,64,2,19,18,25
S00096023,61,9,11,12,29
S00096024,36,6,5,9,16
S00096025,48,13,3,24,8
S00096026,81,1,25,14,41
S00096027,43,7,14,10,12
S00096028,77,2,13,33,29
S00096029,55,18,15,15,7
S00096030,105,8,14,36,47
S00096031,102,4,31,25,42
S00096032,77,6,16,11,44
S00096033,77,11,19,26,21
S00096034,51,13,19,7,12
S00096035,53,0,19,11,23
S00096036,92,17,27,33,15
S00096037,81,10,27,30,14
S00096038,95,8,28,21,38
S00096039,68,5,18,12,33
S00096040,71,18,17,18,18
S00096041,65,6,18,17,24
S00096042,59,4,18,17,20
S00096043,107,10,35,34,28
S00096044,71,25,19,13,14
S00096045,85,6,20,28,31
S00096046,72,4,11,28,29
S00096047,46,0,9,14,23
S00096048,54,7,9,15,23
S00096049,72,36,18,13,5
S00096050,74,2,13,27,32
S00096051,70,15,37,16,2
S00096052,90,29,26,18,17
S00096053,84,14,25,34,11
S00096054,114,19,51,30,14
S00096055,61,8,26,19,8
S00096056,95,17,29,28,21
S00096057,57,14,13,14,16
S00096058,100,17,20,24,39
S00096059,87,9,20,27,31
S00096060,75,21,23,23,8
S00096061,92,18,34,23,17
S00096062,90,20,31,31,8
S00096063,46,3,13,7,23
S00096064,99,5,23,20,51
S00096065,83,2,24,23,34
S00096066,52,1,10,24,17
S00096067,45,1,6,12,26
S00096068,73,6,25,21,21
S00096069,74,6,27,34,7
S00096070,57,12,23,14,8
S00096071,56,14,20,7,15
S00096072,91,4,17,22,48
S00096073,66,12,23,16,15
S00096074,58,16,16,18,8
S00096075,43,2,7,19,15
S00096076,57,5,14,12,26
S00096077,108,28,35,13,32
S00096078,97,19,39,24,15
S00096079,73,3,18,13,39
S00096080,60,21,23,16,0
S00096081,59,6,26,5,22
S00096082,65,21,5,20,19
S00096083,97,26,44,17,10
S00096084,77,4,21,20,32
S00096085,65,3,10,8,44
S00096086,53,4,21,13,15
S00096087,68,10,11,18,29
S00096088,45,11,11,10,13
S00096089,113,42,30,20,21
S00096090,69,10,16,24,19
S00096091,109,27,24,36,22
S00096092,61,10,12,22,17
S00096093,50,4,12,20,14
S00096094,83,11,30,17,25
S00096095,43,4,13,11,15
S00096096,60,12,26,15,7
S00096097,69,22,21,16,10
S00096098,70,15,29,23,3
S00096099,74,11,23,16,24
S00096100,65,10,21,17,17
S00096101,80,16,29,26,9
S00096102,27,15,2,8,2
S00096103,80,9,20,28,23
S00096104,65,42,9,9,5
S00096105,91,73,14,0,4
S00096106,62,32,13,12,5
S00096107,71,31,23,10,7
S00096108,30,10,10,5,5
S00096109,66,24,22,11,9
S00096110,69,24,22,11,12
S00096111,71,35,23,7,6
S00096112,122,76,27,5,14
S00096113,56,25,10,11,10
S00096114,96,51,38,4,3
S00096115,101,55,35,10,1
S00096116,35,6,14,9,6
S00096117,80,14,31,16,19
S00096118,121,25,32,48,16
S00096119,64,4,10,25,25
S00096120,82,15,42,13,12
S00096121,69,12,18,28,11
S00096122,89,7,21,30,31
S00096123,44,11,6,16,11
S00096124,67,0,14,15,38
S00096125,79,21,23,25,10
S00096126,43,9,11,4,19
S00096127,78,5,23,21,29
S00096128,81,17,26,12,26
S00096129,90,22,44,23,1
S00096130,60,15,18,17,10
S00096131,62,13,23,15,11
S00096132,86,26,29,22,9
S00096133,40,9,12,14,5
S00096134,47,5,7,6,29
S00096135,38,21,17,0,0
S00096136,40,4,6,13,17
S00096137,39,6,5,11,17
S00096138,76,18,26,21,11
S00096139,99,31,32,24,12
S00096140,55,26,10,13,6
S00096141,64,26,22,12,4
S00096142,112,47,44,17,4
S00096143,66,24,20,13,9
S00096144,144,49,53,36,6
S00096145,111,34,48,11,18
S00096146,59,3,16,14,26
S00096147,31,17,8,2,4
S00096148,33,13,7,2,11
S00096149,31,12,9,7,3
S00096150,60,31,19,8,2
S00096151,68,27,16,19,6
S00096152,40,12,13,7,8
S00096153,71,23,27,15,6
S00096154,71,8,15,18,30
S00096155,112,4,24,19,65
S00096156,72,18,25,13,16
S00096157,90,4,30,15,41
S00096158,95,20,31,31,13
S00096159,141,38,74,17,12
S00096160,136,43,53,24,16
S00096161,90,28,38,18,6
S00096162,124,8,43,46,27
S00096163,49,10,22,11,6
S00096164,36,8,18,0,10
S00096165,140,35,39,39,27
S00096166,92,23,30,24,15
S00096167,134,28,49,25,32
S00096168,95,26,46,13,10
S00096169,142,24,49,33,36
S00096170,91,10,21,34,26
S00096171,88,18,33,31,6
S00096172,98,13,28,26,31
S00096173,97,11,31,24,31
S00096174,53,5,12,15,21
S00096175,63,15,17,23,8
S00096176,119,29,36,26,28
S00096177,106,34,30,25,17
S00096178,45,26,12,3,4
S00096179,45,1,11,14,19
S00096180,101,9,31,11,50
S00096181,56,14,17,7,18
S00096182,70,5,12,18,35
S00096183,63,4,10,8,41
S00096184,66,0,12,11,43
S00096185,59,7,9,7,36
S00096186,58,0,13,12,33
S00096187,33,0,7,9,17
S00096188,66,1,10,14,41
S00096189,110,11,11,34,54
S00096190,84,4,7,21,52
S00096191,29,3,1,8,17
S00096192,47,10,19,9,9
S00096193,84,23,10,29,22
S00096194,150,23,64,33,30
S00096195,88,5,14,17,52
S00096196,112,25,26,43,18
S00096197,80,10,31,31,8
S00096198,103,18,34,19,32
S00096199,86,10,16,25,35
S00096200,42,3,13,12,14
S00096201,87,24,21,25,17
S00096202,65,8,15,12,30
S00096203,97,5,25,24,43
S00096204,129,18,41,34,36
S00096205,46,1,20,16,9
S00096206,39,3,15,16,5
S00096207,98,4,31,20,43
S00096208,87,26,27,19,15
S00096209,111,38,39,24,10
S00096210,104,29,43,16,16
S00096211,82,30,21,17,14
S00096212,94,22,55,6,11
S00096213,95,18,32,25,20
S00096214,57,10,22,18,7
S00096215,101,21,44,26,10
S00096216,145,11,53,55,26
S00096217,64,9,24,19,12
S00096218,113,17,17,33,46
S00096219,98,20,36,24,18
S00096220,24,3,4,3,14
S00096221,63,4,12,29,18
S00096222,90,1,14,24,51
S00096223,66,2,9,21,34
S00096224,99,11,33,37,18
S00096225,82,8,6,26,42
S00096226,108,11,20,45,32
S00096227,37,0,3,6,28
S00096228,88,20,27,26,15
S00096229,55,2,6,17,30
S00096230,77,0,18,24,35
S00096231,53,1,25,17,10
S00096232,98,2,14,21,61
S00096233,45,2,11,12,20
S00096234,76,2,29,20,25
S00096235,84,16,33,24,11
S00096236,65,14,21,15,15
S00096237,54,3,17,19,15
S00096238,63,22,7,19,15
S00096239,45,15,12,13,5
S00096240,53,5,11,15,22
S00096241,74,5,31,23,15
S00096242,111,31,46,22,12
S00096243,58,4,12,26,16
S00096244,43,5,16,9,13
S00096245,71,31,17,20,3
S00096246,105,69,13,10,13
S00096247,47,31,6,6,4
S00096248,70,40,26,4,0
S00096249,62,20,28,11,3
S00096250,94,12,13,33,36
S00096251,119,24,39,33,23
S00096252,73,10,22,22,19
S00096253,81,19,27,24,11
S00096254,68,9,25,21,13
S00096255,151,22,49,59,21
S00096256,75,15,15,24,21
S00096257,80,18,30,19,13
S00096258,76,15,27,16,18
S00096259,105,15,35,32,23
S00096260,65,14,22,14,15
S00096261,49,11,23,13,2
S00096262,72,19,33,10,10
S00096263,41,16,9,11,5
S00096264,125,27,44,35,19
S00096265,70,11,32,22,5
S00096266,53,3,20,12,18
S00096267,56,12,17,17,10
S00096268,92,23,36,25,8
S00096269,27,10,2,11,4
S00096270,96,20,39,15,22
S00096271,77,15,30,16,16
S00096272,88,21,41,17,9
S00096273,49,3,18,7,21
S00096274,61,25,14,16,6
S00096275,74,0,27,19,28
S00096276,81,7,23,17,34
S00096277,84,10,36,23,15
S00096278,74,12,26,17,19
S00096279,75,6,27,16,26
S00096280,52,3,19,10,20
S00096281,71,2,11,13,45
S00096282,58,0,16,20,22
S00096283,73,1,11,18,43
S00096284,66,8,12,13,33
S00096285,69,8,15,18,28
S00096286,51,7,14,5,25
S00096287,50,4,18,3,25
S00096288,56,0,12,10,34
S00096289,65,2,7,19,37
S00096290,54,1,11,10,32
S00096291,65,2,21,12,30
S00096292,55,0,11,9,35
S00096293,36,5,6,10,15
S00096294,75,6,9,16,44
S00096295,142,4,24,52,62
S00096296,31,2,4,9,16
S00096297,48,0,20,10,18
S00096298,67,3,18,12,34
S00096299,37,5,11,16,5
S00096300,75,2,17,17,39
S00096301,39,0,9,3,27
S00096302,92,13,14,24,41
S00096303,45,6,6,13,20
S00096304,78,5,24,10,39
S00096305,44,7,13,15,9
S00096306,85,17,41,21,6
S00096307,92,31,37,13,11
S00096308,86,13,25,37,11
S00096309,91,27,39,13,12
S00096310,94,20,32,27,15
S00096311,68,19,30,14,5
S00096312,59,16,16,23,4
S00096313,88,17,31,28,12
S00096314,58,17,17,16,8
S00096315,81,2,40,23,16
S00096316,39,6,15,10,8
S00096317,62,7,32,14,9
S00096318,88,6,27,39,16
S00096319,47,16,17,8,6
S00096320,65,8,16,19,22
S00096321,139,16,63,36,24
S00096322,47,3,12,11,21
S00096323,55,3,15,17,20
S00096324,54,3,23,15,13
S00096325,66,3,29,20,14
S00096326,93,7,34,21,31
S00096327,77,10,24,22,21
S00096328,43,1,14,8,20
S00096329,59,5,20,14,20
S00096330,11,2,6,1,2
S00096331,74,2,26,23,23
S00096332,87,18,26,34,9
S00096333,87,27,29,19,12
S00096334,64,11,23,16,14
S00096335,103,17,38,30,18
S00096336,90,18,25,30,17
S00096337,30,0,10,2,18
S00096338,63,2,10,14,37
S00096339,62,0,14,19,29
S00096340,63,0,10,14,39
S00096341,54,0,8,19,27
S00096342,106,8,36,23,39
S00096343,53,4,18,13,18
S00096344,107,14,43,30,20
S00096345,67,8,16,16,27
S00096346,69,1,13,17,38
S00096347,74,2,20,14,38
S00096348,39,0,9,11,19
S00096349,59,3,9,12,35
S00096350,28,4,11,5,8
S00096351,129,15,49,29,36
S00096352,88,2,30,13,43
S00096353,34,2,10,6,16
S00096354,48,2,13,13,20
S00096355,121,14,44,30,33
S00096356,84,7,20,21,36
S00096357,89,5,28,30,26
S00096358,50,4,9,21,16
S00096359,43,0,6,10,27
S00096360,54,0,15,20,19
S00096361,47,1,18,9,19
S00096362,49,5,19,9,16
S00096363,51,1,16,19,15
S00096364,52,7,19,16,10
S00096365,67,11,19,25,12
S00096366,86,1,25,21,39
S00096367,110,12,47,24,27
S00096368,63,1,10,21,31
S00096369,174,20,67,63,24
S00096370,68,12,25,23,8
S00096371,65,0,20,22,23
S00096372,57,4,16,14,23
S00096373,83,9,20,34,20
S00096374,111,11,31,47,22
S00096375,114,5,27,37,45
S00096376,77,8,23,11,35
S00096377,99,3,21,32,43
S00096378,54,1,14,8,31
S00096379,94,4,31,38,21
S00096380,112,5,51,32,24
S00096381,85,4,40,30,11
S00096382,65,6,16,19,24
S00096383,78,14,29,26,9
S00096384,85,4,26,20,35
S00096385,65,0,21,10,34
S00096386,110,5,22,27,56
S00096387,107,8,24,13,62
S00096388,118,10,20,37,51
S00096389,72,5,14,28,25
S00096390,138,4,38,42,54
S00096391,121,5,41,31,44
S00096392,43,0,16,11,16
S00096393,48,0,15,12,21
S00096394,49,0,10,20,19
S00096395,91,6,17,7,61
S00096396,83,0,25,31,27
S00096397,93,4,20,24,45
S00096398,88,3,28,25,32
S00096399,56,5,14,11,26
S00096400,51,1,20,15,15
S00096401,64,11,17,11,25
S00096402,78,3,26,24,25
S00096403,61,3,19,17,22
S00096404,44,9,14,11,10
S00096405,61,1,27,24,9
S00096406,51,11,6,19,15
S00096407,94,13,14,22,45
S00096408,82,3,21,29,29
S00096409,84,11,31,23,19
S00096410,50,4,12,17,17
S00096411,110,12,32,44,22
S00096412,35,1,11,3,20
S00096413,91,15,23,28,25
S00096414,120,9,38,25,48
S00096415,98,8,31,21,38
S00096416,68,0,16,11,41
S00096417,44,0,9,9,26
S00096418,74,3,9,30,32
S00096419,81,3,15,18,45
S00096420,54,1,15,18,20
S00096421,76,0,13,15,48
S00096422,104,2,29,23,50
S00096423,110,20,53,21,16
S00096424,82,9,33,18,22
S00096425,117,10,42,29,36
S00096426,64,18,15,15,16
S00096427,91,24,31,28,8
S00096428,89,19,34,18,18
S00096429,61,11,25,10,15
S00096430,83,22,25,18,18
S00096431,56,12,13,12,19
S00096432,41,2,13,14,12
S00096433,44,9,10,5,20
S00096434,60,3,27,11,19
S00096435,52,11,13,15,13
S00096436,127,28,62,25,12
S00096437,7,0,3,4,0
S00096438,29,1,14,5,9
S00096439,62,10,27,16,9
S00096440,37,1,9,14,13
S00096441,43,3,17,12,11
S00096442,51,2,18,10,21
S00096443,76,5,31,12,28
S00096444,87,23,32,18,14
S00096445,63,1,19,17,26
S00096446,57,6,24,8,19
S00096447,73,19,38,15,1
S00096448,50,11,15,12,12
S00096449,85,22,33,11,19
S00096450,50,5,20,18,7
S00096451,99,26,41,19,13
S00096452,90,11,27,34,18
S00096453,44,0,20,13,11
S00096454,97,20,24,37,16
S00096455,76,10,28,20,18
S00096456,78,16,36,25,1
S00096457,43,3,15,9,16
S00096458,75,19,26,17,13
S00096459,91,17,34,23,17
S00096460,66,6,22,11,27
S00096461,64,5,15,19,25
S00096462,78,8,29,22,19
S00096463,73,23,25,5,20
S00096464,79,15,14,28,22
S00096465,77,0,27,21,29
S00096466,55,1,12,11,31
S00096467,54,6,12,18,18
S00096468,44,4,7,10,23
S00096469,92,11,19,25,37
S00096470,73,6,26,33,8
S00096471,43,15,17,1,10
S00096472,97,17,42,22,16
S00096473,25,4,6,8,7
S00096474,83,27,41,6,9
S00096475,72,17,29,21,5
S00096476,71,11,12,29,19
S00096477,81,20,27,20,14
S00096478,60,8,30,11,11
S00096479,88,12,16,24,36
S00096480,91,48,17,7,19
S00096481,56,5,15,17,19
S00096482,90,8,27,27,28
S00096483,78,4,11,32,31
S00096484,72,3,28,24,17
S00096485,54,5,29,13,7
S00096486,126,49,55,11,11
S00096487,82,4,41,20,17
S00096488,52,8,7,14,23
S00096489,64,11,19,18,16
S00096490,51,7,14,18,12
S00096491,30,13,6,5,6
S00096492,91,20,32,9,30
S00096493,133,34,50,39,10
S00096494,139,28,62,39,10
S00096495,112,23,33,26,30
S00096496,90,17,39,22,12
S00096497,76,18,22,17,19
S00096498,67,2,30,14,21
S00096499,38,11,9,15,3
S00096500,42,2,12,13,15
S00096501,83,19,37,19,8
S00096502,43,0,12,5,26
S00096503,56,10,19,8,19
S00096504,60,7,14,17,22
S00096505,75,5,15,26,29
S00096506,80,1,31,17,31
S00096507,81,5,39,30,7
S00096508,55,2,7,14,32
S00096509,76,1,9,18,48
S00096510,62,1,10,28,23
S00096511,73,4,22,17,30
S00096512,71,2,13,17,39
S00096513,106,6,35,31,34
S00096514,66,8,13,18,27
S00096515,67,0,13,6,48
S00096516,74,6,17,23,28
S00096517,129,4,19,38,68
S00096518,83,2,27,18,36
S00096519,93,0,15,19,59
S00096520,78,4,24,21,29
S00096521,95,8,34,20,33
S00096522,64,16,25,19,4
S00096523,105,4,40,25,36
S00096524,79,5,14,7,53
S00096525,44,2,15,11,16
S00096526,118,51,37,22,8
S00096527,80,14,26,17,23
S00096528,50,11,18,11,10
S00096529,65,18,29,6,12
S00096530,114,26,59,21,8
S00096531,25,2,4,4,15
S00096532,70,17,42,8,3
S00096533,58,10,16,21,11
S00096534,28,0,7,7,14
S00096535,32,1,11,3,17
S00096536,113,17,50,29,17
S00096537,62,2,8,19,33
S00096538,51,19,14,14,4
S00096539,49,2,2,10,35
S00096540,85,2,12,16,55
S00096541,66,2,17,4,43
S00096542,80,0,12,12,56
S00096543,71,5,9,17,40
S00096544,68,0,9,16,43
S00096545,58,1,11,14,32
S00096546,38,2,7,11,18
S00096547,50,2,12,14,22
S00096548,86,29,26,22,9
S00096549,77,6,11,35,25
S00096550,104,14,23,16,51
S00096551,56,2,12,10,32
S00096552,63,1,20,15,27
S00096553,91,8,24,28,31
S00096554,58,0,12,10,36
S00096555,128,0,28,36,64
S00096556,85,0,10,32,43
S00096557,40,3,6,19,12
S00096558,115,3,18,35,59
S00096559,65,2,14,20,29
S00096560,59,3,15,16,25
S00096561,62,4,4,23,31
S00096562,49,3,16,9,21
S00096563,104,3,19,36,46
S00096564,72,7,6,15,44
S00096565,50,1,6,6,37
S00096566,84,6,13,25,40
S00096567,80,23,33,11,13
S00096568,93,24,42,15,12
S00096569,63,12,31,14,6
S00096570,92,15,38,17,22
S00096571,114,16,40,27,31
S00096572,58,4,9,23,22
S00096573,65,10,31,14,10
S00096574,71,2,26,11,32
S00096575,49,2,18,16,13
S00096576,78,0,26,18,34
S00096577,50,6,12,24,8
S00096578,46,17,12,15,2
S00096579,91,21,43,20,7
S00096580,59,12,17,15,15
S00096581,60,9,26,14,11
S00096582,56,14,17,18,7
S00096583,57,18,15,11,13
S00096584,75,12,37,14,12
S00096585,41,11,21,5,4
S00096586,51,11,18,12,10
S00096587,111,22,61,26,2
S00096588,63,10,27,15,11
S00096589,56,5,24,9,18
S00096590,80,12,36,18,14
S00096591,52,8,22,15,7
S00096592,46,9,17,14,6
S00096593,39,4,14,8,13
S00096594,63,16,22,10,15
S00096595,59,14,28,3,14
S00096596,52,0,18,12,22
S00096597,71,2,25,21,23
S00096598,43,6,18,8,11
S00096599,58,1,12,20,25
S00096600,56,2,10,11,33
S00096601,79,7,23,23,26
S00096602,69,5,27,14,23
S00096603,85,8,10,12,55
S00096604,84,8,17,30,29
S00096605,39,2,5,8,24
S00096606,56,5,26,7,18
S00096607,64,5,25,8,26
S00096608,84,15,29,24,16
S00096609,103,17,53,24,9
S00096610,60,2,17,11,30
S00096611,170,34,89,28,19
S00096612,63,22,33,2,6
S00096613,43,7,22,11,3
S00096614,40,9,12,12,7
S00096615,48,4,27,10,7
S00096616,77,10,27,21,19
S00096617,66,10,15,25,16
S00096618,75,22,25,14,14
S00096619,59,11,25,15,8
S00096620,51,3,13,14,21
S00096621,60,5,16,20,19
S00096622,46,0,9,23,14
S00096623,70,8,19,18,25
S00096624,66,6,35,16,9
S00096625,107,13,61,15,18
S00096626,85,16,25,21,23
S00096627,51,8,18,17,8
S00096628,89,11,30,29,19
S00096629,52,11,15,13,13
S00096630,81,6,31,16,28
S00096631,74,15,29,20,10
S00096632,58,10,21,9,18
S00096633,71,3,18,15,35
S00096634,51,5,29,7,10
S00096635,73,7,17,13,36
S00096636,45,0,11,20,14
S00096637,50,3,10,13,24
S00096638,34,1,8,13,12
S00096639,56,7,23,14,12
S00096640,51,2,16,10,23
S00096641,75,8,29,17,21
S00096642,102,15,38,34,15
S00096643,124,29,48,42,5
S00096644,78,1,28,20,29
S00096645,56,7,17,13,19
S00096646,59,0,35,6,18
S00096647,96,2,28,31,35
S00096648,37,2,7,16,12
S00096649,82,3,39,25,15
S00096650,66,6,32,26,2
S00096651,172,15,71,50,36
S00096652,125,16,62,30,17
S00096653,46,6,16,10,14
S00096654,123,28,35,38,22
S00096655,135,10,29,47,49
S00096656,61,13,20,16,12
S00096657,65,4,24,15,22
S00096658,43,3,12,13,15
S00096659,67,12,19,19,17
S00096660,82,12,30,23,17
S00096661,96,14,46,27,9
S00096662,84,31,25,21,7
S00096663,79,19,29,21,10
S00096664,114,34,41,33,6
S00096665,113,5,35,34,39
S00096666,57,14,14,13,16
S00096667,43,3,16,15,9
S00096668,50,8,19,11,12
S00096669,108,19,51,18,20
S00096670,68,15,15,19,19
S00096671,68,29,22,8,9
S00096672,74,10,23,19,22
S00096673,129,20,53,27,29
S00096674,99,11,41,24,23
S00096675,69,7,22,20,20
S00096676,54,6,28,11,9
S00096677,38,1,14,5,18
S00096678,46,1,9,9,27
S00096679,47,3,8,15,21
S00096680,51,0,14,10,27
S00096681,70,5,6,15,44
S00096682,80,4,13,14,49
S00096683,111,17,41,23,30
S00096684,56,2,4,8,42
S00096685,86,3,27,30,26
S00096686,130,9,23,35,63
S00096687,117,4,47,49,17
S00096688,80,10,32,28,10
S00096689,60,6,15,21,18
S00096690,50,5,12,24,9
S00096691,77,16,47,7,7
S00096692,160,25,66,37,32
S00096693,121,17,56,32,16
S00096694,78,8,21,19,30
S00096695,52,5,18,14,15
S00096696,81,1,17,32,31
S00096697,70,9,19,11,31
S00096698,49,11,22,10,6
S00096699,58,19,23,10,6
S00096700,56,0,19,9,28
S00096701,56,0,24,11,21
S00096702,74,24,27,10,13
S00096703,72,4,24,20,24
S00096704,65,2,25,7,31
S00096705,106,10,42,27,27
S00096706,55,9,13,16,17
S00096707,56,6,26,17,7
S00096708,45,1,7,7,30
S00096709,53,0,11,16,26
S00096710,75,0,12,21,42
S00096711,57,8,8,11,30
S00096712,81,8,26,10,37
S00096713,59,2,20,23,14
S00096714,33,11,13,1,8
S00096715,121,10,45,51,15
S00096716,42,7,9,12,14
S00096717,66,7,18,16,25
S00096718,62,6,16,8,32
S00096719,76,5,28,23,20
S00096720,54,11,27,8,8
