oa_code,All people aged 3 and over,Speaks English very well,Speaks English well,Does not speak English well,Does not speak English at all
S00100432,110,102,7,1,0
S00100433,54,47,6,0,1
S00100434,64,50,14,0,0
S00100435,114,106,7,0,1
S00100436,65,56,9,0,0
S00100437,125,97,24,4,0
S00100438,89,79,10,0,0
S00100439,82,72,10,0,0
S00100440,152,115,26,11,0
S00100441,153,146,7,0,0
S00100442,130,114,16,0,0
S00100443,86,77,9,0,0
S00100444,130,114,16,0,0
S00100445,98,82,16,0,0
S00100446,89,77,12,0,0
S00100447,75,67,8,0,0
S00100448,115,101,13,1,0
S00100449,76,65,9,1,1
S00100450,145,136,7,2,0
S00100451,80,65,14,1,0
S00100452,60,46,14,0,0
S00100453,89,71,18,0,0
S00100454,73,65,7,1,0
S00100455,110,88,18,4,0
S00100456,151,131,19,1,0
S00100457,90,84,4,2,0
S00100458,113,98,15,0,0
S00100459,92,85,7,0,0
S00100460,124,116,8,0,0
S00100461,74,63,10,1,0
S00100462,131,118,12,1,0
S00100463,132,119,11,2,0
S00100464,69,57,10,0,2
S00100465,88,74,14,0,0
S00100466,101,96,3,2,0
S00100467,109,94,12,1,2
S00100468,76,64,10,2,0
S00100469,125,112,13,0,0
S00100470,133,123,10,0,0
S00100471,108,94,12,2,0
S00100472,67,62,5,0,0
S00100473,55,49,6,0,0
S00100474,105,89,12,3,1
S00100475,131,120,9,2,0
S00100476,91,83,8,0,0
S00100477,103,96,7,0,0
S00100478,140,131,9,0,0
S00100479,188,180,8,0,0
S00100480,96,87,9,0,0
S00100481,159,147,11,1,0
S00100482,102,89,11,1,1
S00100483,180,165,14,1,0
S00100484,144,138,5,1,0
S00100485,78,75,3,0,0
S00100486,109,99,10,0,0
S00100487,93,84,9,0,0
S00100488,99,88,11,0,0
S00100489,92,75,13,4,0
S00100490,76,60,15,1,0
S00100491,74,60,12,2,0
S00100492,99,77,19,2,1
S00100493,98,81,14,3,0
S00100494,80,65,15,0,0
S00100495,86,78,8,0,0
S00100496,87,80,7,0,0
S00100497,171,162,9,0,0
S00100498,92,84,8,0,0
S00100499,87,77,10,0,0
S00100500,102,90,10,2,0
S00100501,73,69,4,0,0
S00100502,117,103,14,0,0
S00100503,67,60,7,0,0
S00100504,70,57,12,1,0
S00100505,60,53,7,0,0
S00100506,137,113,24,0,0
S00100507,88,80,6,2,0
S00100508,101,87,14,0,0
S00100509,66,61,4,1,0
S00100510,89,78,11,0,0
S00100511,89,76,13,0,0
S00100512,91,81,10,0,0
S00100513,63,54,7,2,0
S00100514,101,91,9,1,0
S00100515,79,71,8,0,0
S00100516,108,100,8,0,0
S00100517,109,97,12,0,0
S00100518,176,163,13,0,0
S00100519,169,138,30,0,1
S00100520,87,78,9,0,0
S00100521,81,71,9,1,0
S00100522,149,136,13,0,0
S00100523,82,67,14,0,1
S00100524,107,100,4,2,1
S00100525,140,129,10,1,0
S00100526,142,134,7,0,1
S00100527,101,92,9,0,0
S00100528,118,101,17,0,0
S00100529,117,102,14,1,0
S00100530,67,61,5,1,0
S00100531,76,70,6,0,0
S00100532,108,95,12,1,0
S00100533,76,64,12,0,0
S00100534,114,102,11,1,0
S00100535,139,122,13,4,0
S00100536,90,87,3,0,0
S00100537,119,109,9,0,1
S00100538,161,149,12,0,0
S00100539,111,101,10,0,0
S00100540,69,57,10,2,0
S00100541,97,87,8,0,2
S00100542,124,113,10,1,0
S00100543,92,74,18,0,0
S00100544,85,81,4,0,0
S00100545,146,128,17,1,0
S00100546,189,170,16,1,2
S00100547,133,116,16,1,0
S00100548,53,38,14,1,0
S00100549,67,59,8,0,0
S00100550,164,154,10,0,0
S00100551,148,132,15,1,0
S00100552,166,149,16,0,1
S00100553,86,82,4,0,0
S00100554,53,51,2,0,0
S00100555,152,133,19,0,0
S00100556,64,57,7,0,0
S00100557,158,141,17,0,0
S00100558,110,98,12,0,0
S00100559,55,50,5,0,0
S00100560,67,61,5,1,0
S00100561,62,57,5,0,0
S00100562,145,133,12,0,0
S00100563,65,51,12,2,0
S00100564,125,107,17,1,0
S00100565,141,125,14,2,0
S00100566,121,104,17,0,0
S00100567,100,86,14,0,0
S00100568,87,73,13,1,0
S00100569,115,104,11,0,0
S00100570,106,91,14,1,0
S00100571,108,103,5,0,0
S00100572,92,67,25,0,0
S00100573,107,99,8,0,0
S00100574,80,65,14,1,0
S00100575,126,105,15,3,3
S00100576,124,107,17,0,0
S00100577,111,104,7,0,0
S00100578,149,134,13,2,0
S00100579,189,168,20,0,1
S00100580,125,115,10,0,0
S00100581,112,107,5,0,0
S00100582,164,150,12,2,0
S00100583,103,94,9,0,0
S00100584,155,140,15,0,0
S00100585,146,130,15,1,0
S00100586,100,84,15,1,0
S00100587,113,97,16,0,0
S00100588,123,113,9,1,0
S00100589,114,104,8,2,0
S00100590,104,90,14,0,0
S00100591,102,96,6,0,0
S00100592,95,89,6,0,0
S00100593,114,101,11,2,0
S00100594,113,106,7,0,0
S00100595,115,100,14,1,0
S00100596,82,71,10,1,0
S00100597,86,80,6,0,0
S00100598,96,94,2,0,0
S00100599,111,105,6,0,0
S00100600,125,108,17,0,0
S00100601,116,111,5,0,0
S00100602,64,61,3,0,0
S00100603,91,82,9,0,0
S00100604,81,67,14,0,0
S00100605,69,62,7,0,0
S00100606,95,91,4,0,0
S00100607,94,84,9,1,0
S00100608,71,66,5,0,0
S00100609,86,81,5,0,0
S00100610,149,144,5,0,0
S00100611,140,135,5,0,0
S00100612,90,85,5,0,0
S00100613,67,59,7,1,0
S00100614,82,75,4,0,3
S00100615,80,74,6,0,0
S00100616,97,92,5,0,0
S00100617,142,128,14,0,0
S00100618,89,79,9,1,0
S00100619,91,86,5,0,0
S00100620,156,151,4,1,0
S00100621,130,124,5,1,0
S00100622,137,119,17,1,0
S00100623,187,161,24,2,0
S00100624,166,155,10,1,0
S00100625,122,111,11,0,0
S00100626,82,74,6,2,0
S00100627,105,95,10,0,0
S00100628,93,86,7,0,0
S00100629,84,76,8,0,0
S00100630,82,80,1,1,0
S00100631,128,116,11,1,0
S00100632,82,73,8,1,0
S00100633,128,115,13,0,0
S00100634,130,121,9,0,0
S00100635,119,113,5,0,1
S00100636,174,162,10,1,1
S00100637,109,95,14,0,0
S00100638,151,141,10,0,0
S00100639,93,85,8,0,0
S00100640,108,100,7,1,0
S00100641,74,70,4,0,0
S00100642,65,53,12,0,0
S00100643,120,110,10,0,0
S00100644,80,74,6,0,0
S00100645,123,115,7,1,0
S00100646,139,125,13,1,0
S00100647,167,157,8,2,0
S00100648,135,118,17,0,0
S00100649,102,89,11,2,0
S00100650,114,102,12,0,0
S00100651,158,138,14,3,3
S00100652,115,107,8,0,0
S00100653,120,113,7,0,0
S00100654,105,103,2,0,0
S00100655,135,128,7,0,0
S00100656,184,166,18,0,0
S00100657,109,98,11,0,0
S00100658,96,88,8,0,0
S00100659,116,110,6,0,0
S00100660,116,108,8,0,0
S00100661,78,70,6,2,0
S00100662,57,48,8,1,0
S00100663,122,111,11,0,0
S00100664,180,133,31,16,0
S00100665,95,86,9,0,0
S00100666,119,116,2,1,0
S00100667,95,81,14,0,0
S00100668,90,75,15,0,0
S00100669,205,187,17,1,0
S00100670,57,51,6,0,0
S00100671,103,80,21,2,0
S00100672,76,66,10,0,0
S00100673,87,79,8,0,0
S00100674,75,74,0,1,0
S00100675,61,47,14,0,0
S00100676,63,57,6,0,0
S00100677,109,101,8,0,0
S00100678,95,86,9,0,0
S00100679,120,99,19,2,0
S00100680,140,132,7,1,0
S00100681,160,145,11,4,0
S00100682,109,94,14,1,0
S00100683,66,64,2,0,0
S00100684,98,92,5,1,0
S00100685,117,108,9,0,0
S00100686,73,71,2,0,0
S00100687,97,95,2,0,0
S00100688,140,136,4,0,0
S00100689,82,77,5,0,0
S00100690,101,92,9,0,0
S00100691,58,55,3,0,0
S00100692,52,48,3,1,0
S00100693,112,103,8,1,0
S00100694,73,69,4,0,0
S00100695,106,95,11,0,0
S00100696,61,56,5,0,0
S00100697,49,46,3,0,0
S00100698,50,50,0,0,0
S00100699,90,85,4,1,0
S00100700,125,114,11,0,0
S00100701,69,62,7,0,0
S00100702,112,100,10,2,0
S00100703,112,100,10,1,1
S00100704,70,62,4,3,1
S00100705,59,52,4,1,2
S00100706,96,79,16,1,0
S00100707,103,86,14,3,0
S00100708,47,43,4,0,0
S00100709,98,85,11,1,1
S00100710,140,125,13,1,1
S00100711,83,81,2,0,0
S00100712,51,46,5,0,0
S00100713,96,85,10,1,0
S00100714,71,64,6,0,1
S00100715,74,72,2,0,0
S00100716,65,57,7,1,0
S00100717,89,82,7,0,0
S00100718,88,65,22,1,0
S00100719,123,117,6,0,0
S00100720,64,57,6,1,0
S00100721,123,115,8,0,0
S00100722,182,157,21,3,1
S00100723,89,67,22,0,0
S00100724,48,40,8,0,0
S00100725,53,50,2,1,0
S00100726,78,69,8,1,0
S00100727,113,90,20,3,0
S00100728,74,72,2,0,0
S00100729,111,103,8,0,0
S00100730,83,76,6,1,0
S00100731,159,131,25,3,0
S00100732,119,91,28,0,0
S00100733,71,53,17,0,1
S00100734,50,48,2,0,0
S00100735,49,41,8,0,0
S00100736,104,98,6,0,0
S00100737,82,69,13,0,0
S00100738,98,86,12,0,0
S00100739,145,142,3,0,0
S00100740,94,88,5,0,1
S00100741,57,53,3,1,0
S00100742,55,49,5,1,0
S00100743,677,571,91,14,1
S00100744,120,87,25,8,0
S00100745,124,116,8,0,0
S00100746,125,109,14,1,1
S00100747,165,149,14,2,0
S00100748,135,120,15,0,0
S00100749,79,59,16,3,1
S00100750,139,116,23,0,0
S00100751,174,151,17,6,0
S00100752,59,54,5,0,0
S00100753,81,75,5,1,0
S00100754,119,104,15,0,0
S00100755,68,54,14,0,0
S00100756,51,39,11,1,0
S00100757,121,112,8,1,0
S00100758,97,82,12,2,1
S00100759,91,87,4,0,0
S00100760,82,74,6,1,1
S00100761,126,117,8,1,0
S00100762,80,66,13,1,0
S00100763,59,52,6,1,0
S00100764,58,49,9,0,0
S00100765,55,39,16,0,0
S00100766,104,94,10,0,0
S00100767,111,104,7,0,0
S00100768,63,59,4,0,0
S00100769,190,184,6,0,0
S00100770,64,58,5,1,0
S00100771,127,104,22,1,0
S00100772,138,129,8,1,0
S00100773,129,113,16,0,0
S00100774,63,55,8,0,0
S00100775,126,117,9,0,0
S00100776,149,132,17,0,0
S00100777,88,76,10,2,0
S00100778,124,112,12,0,0
S00100779,187,169,17,1,0
S00100780,165,160,4,1,0
S00100781,54,47,6,1,0
S00100782,150,133,15,2,0
S00100783,105,93,11,1,0
S00100784,78,67,10,1,0
S00100785,69,64,5,0,0
S00100786,98,81,11,6,0
S00100787,121,105,14,2,0
S00100788,48,43,5,0,0
S00100789,101,94,6,1,0
S00100790,70,65,5,0,0
S00100791,89,76,13,0,0
S00100792,84,78,5,1,0
S00100793,111,102,6,3,0
S00100794,87,81,4,2,0
S00100795,65,54,10,1,0
S00100796,67,55,12,0,0
S00100797,100,79,16,5,0
S00100798,101,94,4,3,0
S00100799,93,82,10,1,0
S00100800,156,144,9,3,0
S00100801,130,116,11,3,0
S00100802,125,109,13,3,0
S00100803,102,88,13,1,0
S00100804,85,72,10,3,0
S00100805,118,106,12,0,0
S00100806,99,70,27,2,0
S00100807,56,43,13,0,0
S00100808,113,94,16,3,0
S00100809,139,117,17,3,2
S00100810,202,195,7,0,0
S00100811,143,138,5,0,0
S00100812,89,87,2,0,0
S00100813,139,130,8,1,0
S00100814,132,123,8,1,0
S00100815,161,145,14,2,0
S00100816,106,96,10,0,0
S00100817,255,242,12,1,0
S00100818,190,177,7,6,0
S00100819,128,124,4,0,0
S00100820,130,120,7,3,0
S00100821,127,124,3,0,0
S00100822,89,83,5,1,0
S00100823,185,166,15,4,0
S00100824,119,108,11,0,0
S00100825,89,76,11,0,2
S00100826,84,78,5,1,0
S00100827,134,127,7,0,0
S00100828,107,96,11,0,0
S00100829,131,117,13,1,0
S00100830,108,100,8,0,0
S00100831,104,88,15,1,0
S00100832,76,69,6,1,0
S00100833,160,148,11,1,0
S00100834,125,114,11,0,0
S00100835,83,78,3,2,0
S00100836,182,153,27,2,0
S00100837,99,84,10,3,2
S00100838,119,95,21,1,2
S00100839,188,176,11,1,0
S00100840,122,115,7,0,0
S00100841,109,103,5,1,0
S00100842,138,121,16,1,0
S00100843,100,95,4,1,0
S00100844,127,122,5,0,0
S00100845,100,92,8,0,0
S00100846,69,63,6,0,0
S00100847,141,136,5,0,0
S00100848,68,66,2,0,0
S00100849,114,103,11,0,0
S00100850,210,192,17,1,0
S00100851,174,165,8,1,0
S00100852,159,150,8,1,0
S00100853,118,106,12,0,0
S00100854,81,66,14,1,0
S00100855,92,80,10,2,0
S00100856,96,79,13,2,2
S00100857,144,117,23,3,1
S00100858,118,106,12,0,0
S00100859,74,63,10,1,0
S00100860,56,48,8,0,0
S00100861,161,144,17,0,0
S00100862,102,96,6,0,0
S00100863,71,70,1,0,0
S00100864,73,71,2,0,0
S00100865,118,101,15,1,1
S00100866,235,222,12,0,1
S00100867,134,122,12,0,0
S00100868,141,133,7,1,0
S00100869,120,110,9,1,0
S00100870,199,181,17,1,0
S00100871,166,151,13,2,0
S00100872,185,174,11,0,0
S00100873,72,61,10,1,0
S00100874,88,77,5,5,1
S00100875,169,155,10,4,0
S00100876,128,123,5,0,0
S00100877,172,160,11,0,1
S00100878,87,74,12,1,0
S00100879,155,141,8,4,2
S00100880,153,134,17,1,1
S00100881,93,82,9,2,0
S00100882,75,71,4,0,0
S00100883,164,153,8,3,0
S00100884,78,77,1,0,0
S00100885,68,62,6,0,0
S00100886,73,67,6,0,0
S00100887,155,150,5,0,0
S00100888,113,105,7,1,0
S00100889,123,118,4,1,0
S00100890,108,99,8,1,0
S00100891,121,115,6,0,0
S00100892,129,119,9,1,0
S00100893,103,99,4,0,0
S00100894,104,96,8,0,0
S00100895,146,128,13,4,1
S00100896,122,112,9,1,0
S00100897,94,89,5,0,0
S00100898,129,125,4,0,0
S00100899,116,115,0,1,0
S00100900,116,103,12,1,0
S00100901,92,78,12,2,0
S00100902,111,104,7,0,0
S00100903,208,196,12,0,0
S00100904,151,144,7,0,0
S00100905,137,126,11,0,0
S00100906,157,144,13,0,0
S00100907,101,99,1,1,0
S00100908,63,59,4,0,0
S00100909,133,121,11,1,0
S00100910,93,89,4,0,0
S00100911,107,101,5,1,0
S00100912,122,106,14,1,1
S00100913,137,127,5,2,3
S00100914,96,86,10,0,0
S00100915,75,73,2,0,0
S00100916,103,100,3,0,0
S00100917,154,140,12,2,0
S00100918,97,92,5,0,0
S00100919,108,102,6,0,0
S00100920,158,147,10,1,0
S00100921,145,139,3,2,1
S00100922,131,126,4,0,1
S00100923,91,88,3,0,0
S00100924,124,118,5,1,0
S00100925,57,57,0,0,0
S00100926,136,130,4,0,2
S00100927,110,105,4,1,0
S00100928,121,115,4,2,0
S00100929,77,73,4,0,0
S00100930,133,126,6,1,0
S00100931,130,123,7,0,0
S00100932,106,96,9,1,0
S00100933,147,132,12,1,2
S00100934,87,86,1,0,0
S00100935,127,116,9,2,0
S00100936,117,107,8,1,1
S00100937,152,132,16,4,0
S00100938,169,157,11,1,0
S00100939,116,104,8,4,0
S00100940,97,92,4,0,1
S00100941,131,124,6,1,0
S00100942,136,127,6,1,2
S00100943,137,130,6,1,0
S00100944,105,96,8,1,0
S00100945,110,103,4,2,1
S00100946,180,167,9,4,0
S00100947,116,108,7,0,1
S00100948,123,120,3,0,0
S00100949,117,111,3,3,0
S00100950,110,104,5,1,0
S00100951,124,119,5,0,0
S00100952,84,80,1,3,0
S00100953,168,153,14,1,0
S00100954,116,111,4,0,1
S00100955,107,100,6,0,1
S00100956,112,101,9,2,0
S00100957,102,89,9,1,3
S00100958,144,133,11,0,0
S00100959,196,177,18,1,0
S00100960,147,140,7,0,0
S00100961,121,114,7,0,0
S00100962,55,48,6,1,0
S00100963,67,61,6,0,0
S00100964,127,123,4,0,0
S00100965,67,66,1,0,0
S00100966,58,49,8,1,0
S00100967,89,78,9,1,1
S00100968,103,100,3,0,0
S00100969,85,81,4,0,0
S00100970,99,82,12,5,0
S00100971,99,91,7,1,0
S00100972,154,141,13,0,0
S00100973,101,95,6,0,0
S00100974,159,151,7,1,0
S00100975,131,129,2,0,0
S00100976,94,86,8,0,0
S00100977,78,74,4,0,0
S00100978,136,132,4,0,0
S00100979,69,67,1,1,0
S00100980,99,97,2,0,0
S00100981,77,71,6,0,0
S00100982,84,79,3,0,2
S00100983,127,126,1,0,0
S00100984,172,160,11,1,0
S00100985,155,151,4,0,0
S00100986,140,140,0,0,0
S00100987,133,125,7,1,0
S00100988,95,88,7,0,0
S00100989,101,95,5,1,0
S00100990,116,113,3,0,0
S00100991,114,112,2,0,0
S00100992,134,129,4,1,0
S00100993,182,178,4,0,0
S00100994,166,157,9,0,0
S00100995,54,51,3,0,0
S00100996,83,76,6,1,0
S00100997,158,144,13,1,0
S00100998,63,59,3,1,0
S00100999,137,127,8,2,0
S00101000,98,89,8,1,0
S00101001,112,109,2,1,0
S00101002,122,117,5,0,0
S00101003,118,110,8,0,0
S00101004,121,111,9,1,0
S00101005,117,115,2,0,0
S00101006,170,166,2,1,1
S00101007,121,115,4,2,0
S00101008,109,102,6,1,0
S00101009,104,99,5,0,0
S00101010,139,129,10,0,0
S00101011,100,99,1,0,0
S00101012,120,113,6,1,0
S00101013,141,137,4,0,0
S00101014,87,83,4,0,0
S00101015,91,89,2,0,0
S00101016,122,117,5,0,0
S00101017,116,112,4,0,0
S00101018,101,96,5,0,0
S00101019,97,90,6,1,0
S00101020,123,115,8,0,0
S00101021,81,78,3,0,0
S00101022,162,151,11,0,0
S00101023,166,154,11,1,0
S00101024,160,154,5,1,0
S00101025,141,134,7,0,0
S00101026,106,99,6,1,0
S00101027,164,156,7,1,0
S00101028,55,52,2,1,0
S00101029,90,88,2,0,0
S00101030,139,136,3,0,0
S00101031,114,108,6,0,0
S00101032,119,117,2,0,0
S00101033,208,199,7,2,0
S00101034,158,147,11,0,0
S00101035,135,127,5,3,0
S00101036,130,127,3,0,0
S00101037,176,164,12,0,0
S00101038,157,150,7,0,0
S00101039,140,134,5,1,0
S00101040,142,124,16,2,0
S00101041,73,64,7,1,1
S00101042,162,147,12,3,0
S00101043,121,104,15,2,0
S00101044,90,82,8,0,0
S00101045,100,97,3,0,0
S00101046,122,115,4,3,0
S00101047,100,91,8,0,1
S00101048,114,112,2,0,0
S00101049,94,90,4,0,0
S00101050,97,89,7,1,0
S00101051,100,94,6,0,0
S00101052,134,128,6,0,0
S00101053,103,100,3,0,0
S00101054,126,121,3,1,1
S00101055,114,113,1,0,0
S00101056,143,134,7,2,0
S00101057,160,148,12,0,0
S00101058,175,168,6,1,0
S00101059,124,114,4,6,0
S00101060,127,124,3,0,0
S00101061,169,162,5,2,0
S00101062,156,147,9,0,0
S00101063,158,137,17,1,3
S00101064,161,142,14,5,0
S00101065,73,56,16,0,1
S00101066,173,163,10,0,0
S00101067,97,88,8,1,0
S00101068,96,87,9,0,0
S00101069,57,50,7,0,0
S00101070,161,149,10,2,0
S00101071,96,79,16,1,0
S00101072,70,65,5,0,0
S00101073,63,57,6,0,0
S00101074,137,132,5,0,0
S00101075,107,104,0,1,2
S00101076,128,123,5,0,0
S00101077,147,133,11,2,1
S00101078,96,87,9,0,0
S00101079,129,126,2,1,0
S00101080,175,163,12,0,0
S00101081,71,64,7,0,0
S00101082,118,105,13,0,0
S00101083,101,81,17,1,2
S00101084,93,80,8,3,2
S00101085,132,122,9,0,1
S00101086,90,79,10,1,0
S00101087,116,106,9,1,0
S00101088,140,124,15,1,0
S00101089,94,84,10,0,0
S00101090,102,88,14,0,0
S00101091,106,97,7,2,0
S00101092,98,87,8,2,1
S00101093,78,64,13,1,0
S00101094,113,96,13,3,1
S00101095,95,84,11,0,0
S00101096,149,138,9,2,0
S00101097,108,101,6,1,0
S00101098,217,190,21,5,1
S00101099,252,208,29,14,1
S00101100,95,83,10,2,0
S00101101,170,151,17,2,0
S00101102,122,112,7,3,0
S00101103,164,150,11,3,0
S00101104,157,143,12,1,1
S00101105,177,159,16,1,1
S00101106,156,134,17,3,2
S00101107,179,167,11,1,0
S00101108,150,140,7,3,0
S00101109,105,99,6,0,0
S00101110,209,204,4,1,0
S00101111,133,125,8,0,0
S00101112,140,136,3,0,1
S00101113,94,88,4,2,0
S00101114,110,100,8,1,1
S00101115,132,122,8,2,0
S00101116,150,141,7,2,0
S00101117,104,95,7,1,1
S00101118,132,125,5,1,1
S00101119,109,103,6,0,0
S00101120,100,89,10,1,0
S00101121,153,141,10,2,0
S00101122,103,96,7,0,0
S00101123,102,94,7,0,1
S00101124,125,119,6,0,0
S00101125,103,99,3,1,0
S00101126,130,126,4,0,0
S00101127,137,131,5,1,0
S00101128,89,88,1,0,0
S00101129,120,116,4,0,0
S00101130,120,116,4,0,0
S00101131,95,89,4,1,1
S00101132,132,125,7,0,0
S00101133,113,108,3,2,0
S00101134,105,98,5,2,0
S00101135,135,127,7,1,0
S00101136,131,125,5,1,0
S00101137,145,137,8,0,0
S00101138,218,205,12,1,0
S00101139,112,102,8,2,0
S00101140,119,111,8,0,0
S00101141,201,189,9,3,0
S00101142,193,169,22,2,0
S00101143,128,115,9,3,1
S00101144,118,113,5,0,0
S00101145,150,141,8,1,0
S00101146,125,119,6,0,0
S00101147,168,156,12,0,0
S00101148,164,158,6,0,0
S00101149,191,187,4,0,0
S00101150,147,140,7,0,0
S00101151,173,158,12,3,0
S00101152,168,158,9,1,0
S00101153,149,141,7,1,0
S00101154,126,119,5,2,0
S00101155,106,105,1,0,0
S00101156,172,162,10,0,0
S00101157,156,147,7,2,0
S00101158,162,155,7,0,0
S00101159,167,155,12,0,0
S00101160,96,85,11,0,0
S00101161,126,120,6,0,0
S00101162,158,146,12,0,0
S00101163,146,141,5,0,0
S00101164,105,102,3,0,0
S00101165,118,114,4,0,0
S00101166,142,129,13,0,0
S00101167,118,111,6,1,0
S00101168,125,119,6,0,0
S00101169,120,107,12,1,0
S00101170,77,70,7,0,0
S00101171,81,74,7,0,0
S00101172,138,130,7,1,0
S00101173,103,100,3,0,0
S00101174,175,173,2,0,0
S00101175,144,132,12,0,0
S00101176,57,51,6,0,0
S00101177,124,118,4,2,0
S00101178,114,110,4,0,0
S00101179,123,109,12,1,1
S00101180,103,101,2,0,0
S00101181,98,92,4,2,0
S00101182,123,113,8,1,1
S00101183,134,132,2,0,0
S00101184,201,181,19,1,0
S00101185,174,171,3,0,0
S00101186,115,98,11,5,1
S00101187,129,116,12,1,0
S00101188,98,97,1,0,0
S00101189,122,115,7,0,0
S00101190,106,99,7,0,0
S00101191,96,93,2,1,0
S00101192,122,112,9,1,0
S00101193,79,76,3,0,0
S00101194,55,51,4,0,0
S00101195,97,92,4,1,0
S00101196,124,110,12,2,0
S00101197,128,118,6,4,0
S00101198,109,101,8,0,0
S00101199,143,135,7,1,0
S00101200,88,80,8,0,0
S00101201,98,90,8,0,0
S00101202,118,110,8,0,0
S00101203,131,123,8,0,0
S00101204,193,181,11,1,0
S00101205,123,113,10,0,0
S00101206,109,105,4,0,0
S00101207,105,100,4,1,0
S00101208,130,116,12,1,1
S00101209,120,115,4,1,0
S00101210,163,144,18,1,0
S00101211,165,148,13,3,1
S00101212,138,130,5,2,1
S00101213,141,129,12,0,0
S00101214,156,148,7,1,0
S00101215,137,128,9,0,0
S00101216,134,115,17,2,0
S00101217,94,87,5,2,0
S00101218,106,97,7,2,0
S00101219,163,151,11,1,0
S00101220,91,90,1,0,0
S00101221,147,139,8,0,0
S00101222,125,118,6,1,0
S00101223,113,112,1,0,0
S00101224,69,65,4,0,0
S00101225,124,119,5,0,0
S00101226,139,129,9,1,0
S00101227,131,111,13,7,0
S00101228,62,61,1,0,0
S00101229,79,69,9,1,0
S00101230,112,97,15,0,0
S00101231,178,172,6,0,0
S00101232,105,98,7,0,0
S00101233,102,98,4,0,0
S00101234,128,118,8,2,0
S00101235,81,76,4,1,0
S00101236,133,122,11,0,0
S00101237,85,80,5,0,0
S00101238,83,81,2,0,0
S00101239,86,75,10,1,0
S00101240,79,72,5,2,0
S00101241,140,126,12,1,1
S00101242,90,85,5,0,0
S00101243,129,121,8,0,0
S00101244,92,90,2,0,0
S00101245,94,88,5,1,0
S00101246,60,56,4,0,0
S00101247,94,77,12,2,3
S00101248,124,113,9,1,1
S00101249,57,53,4,0,0
S00101250,136,124,10,2,0
S00101251,137,128,9,0,0
S00101252,166,155,10,1,0
S00101253,125,115,10,0,0
S00101254,142,133,9,0,0
S00101255,118,112,6,0,0
S00101256,164,161,3,0,0
S00101257,140,134,3,3,0
S00101258,88,88,0,0,0
S00101259,115,106,9,0,0
S00101260,101,89,10,2,0
S00101261,110,107,3,0,0
S00101262,120,113,7,0,0
S00101263,116,105,10,1,0
S00101264,119,110,8,1,0
S00101265,119,113,5,1,0
S00101266,116,104,11,1,0
S00101267,113,104,9,0,0
S00101268,75,71,4,0,0
S00101269,129,116,13,0,0
S00101270,168,158,10,0,0
S00101271,90,80,10,0,0
S00101272,133,126,6,1,0
S00101273,109,105,4,0,0
S00101274,137,133,4,0,0
S00101275,156,144,11,1,0
S00101276,67,66,1,0,0
S00101277,159,149,9,1,0
S00101278,166,156,9,1,0
S00101279,168,159,9,0,0
S00101280,129,117,12,0,0
S00101281,144,131,12,1,0
S00101282,84,70,14,0,0
S00101283,60,54,6,0,0
S00101284,142,133,9,0,0
S00101285,101,98,2,1,0
S00101286,131,127,4,0,0
S00101287,153,142,11,0,0
S00101288,92,79,13,0,0
S00101289,99,93,6,0,0
S00101290,114,110,4,0,0
S00101291,144,141,3,0,0
S00101292,122,119,3,0,0
S00101293,102,98,4,0,0
S00101294,75,68,7,0,0
S00101295,100,94,5,1,0
S00101296,150,140,10,0,0
S00101297,83,71,12,0,0
S00101298,126,122,3,1,0
S00101299,114,108,6,0,0
S00101300,92,80,10,2,0
S00101301,111,102,9,0,0
S00101302,88,86,2,0,0
S00101303,79,72,7,0,0
S00101304,90,69,19,2,0
S00101305,153,146,6,0,1
S00101306,157,149,5,3,0
S00101307,108,91,14,3,0
S00101308,98,86,11,1,0
S00101309,78,72,6,0,0
S00101310,152,137,15,0,0
S00101311,103,100,3,0,0
S00101312,122,119,2,0,1
S00101313,157,149,8,0,0
S00101314,113,109,3,1,0
S00101315,125,118,7,0,0
S00101316,153,143,9,0,1
S00101317,84,76,7,1,0
S00101318,102,94,7,1,0
S00101319,152,138,14,0,0
S00101320,90,75,14,1,0
S00101321,82,70,9,3,0
S00101322,105,102,3,0,0
S00101323,97,91,5,1,0
S00101324,92,85,7,0,0
S00101325,55,48,7,0,0
S00101326,136,124,10,2,0
S00101327,92,69,20,3,0
S00101328,81,64,15,2,0
S00101329,107,94,10,3,0
S00101330,104,94,10,0,0
S00101331,98,91,6,1,0
S00101332,135,120,14,1,0
S00101333,80,64,12,4,0
S00101334,68,64,4,0,0
S00101335,124,110,10,4,0
S00101336,103,89,14,0,0
S00101337,104,91,9,4,0
S00101338,94,88,5,1,0
S00101339,50,46,4,0,0
S00101340,75,68,6,1,0
S00101341,125,115,10,0,0
S00101342,115,99,15,1,0
S00101343,78,73,4,1,0
S00101344,113,103,7,3,0
S00101345,137,117,19,1,0
S00101346,109,96,13,0,0
S00101347,137,119,16,2,0
S00101348,97,90,7,0,0
S00101349,105,88,17,0,0
S00101350,144,131,12,1,0
S00101351,81,76,5,0,0
S00101352,78,71,7,0,0
S00101353,140,133,7,0,0
S00101354,160,152,7,1,0
S00101355,78,68,9,1,0
S00101356,89,84,5,0,0
S00101357,76,69,7,0,0
S00101358,87,75,12,0,0
S00101359,84,76,7,1,0
S00101360,97,86,11,0,0
S00101361,122,102,20,0,0
