oa_code,All people aged 3 and over,Speaks English very well,Speaks English well,Does not speak English well,Does not speak English at all
S00089164,78,69,6,3,0
S00089165,102,84,16,2,0
S00089166,143,126,17,0,0
S00089167,104,88,15,1,0
S00089168,64,55,9,0,0
S00089169,111,102,8,1,0
S00089170,83,62,16,5,0
S00089171,73,62,8,3,0
S00089172,60,51,9,0,0
S00089173,133,115,17,1,0
S00089174,150,134,16,0,0
S00089175,114,98,15,1,0
S00089176,99,88,9,2,0
S00089177,125,112,10,3,0
S00089178,142,122,19,1,0
S00089179,167,147,19,1,0
S00089180,134,118,15,1,0
S00089181,97,87,10,0,0
S00089182,113,99,11,3,0
S00089183,91,79,11,1,0
S00089184,135,127,8,0,0
S00089185,135,132,3,0,0
S00089186,105,95,10,0,0
S00089187,65,55,8,2,0
S00089188,145,139,5,1,0
S00089189,149,134,12,2,1
S00089190,111,101,8,2,0
S00089191,130,113,15,1,1
S00089192,109,92,17,0,0
S00089193,127,106,14,7,0
S00089194,150,126,20,4,0
S00089195,133,119,12,2,0
S00089196,118,102,7,9,0
S00089197,112,98,12,2,0
S00089198,83,70,12,1,0
S00089199,97,90,7,0,0
S00089200,65,53,10,2,0
S00089201,94,81,10,3,0
S00089202,144,140,4,0,0
S00089203,208,185,20,3,0
S00089204,145,133,8,4,0
S00089205,114,104,9,1,0
S00089206,120,111,9,0,0
S00089207,97,86,11,0,0
S00089208,74,68,3,3,0
S00089209,70,65,4,1,0
S00089210,76,67,8,1,0
S00089211,71,61,9,1,0
S00089212,105,93,10,2,0
S00089213,67,58,4,3,2
S00089214,61,61,0,0,0
S00089215,65,60,5,0,0
S00089216,96,86,8,2,0
S00089217,77,65,8,4,0
S00089218,122,104,11,7,0
S00089219,81,63,11,5,2
S00089220,59,57,1,1,0
S00089221,145,111,24,9,1
S00089222,86,73,10,3,0
S00089223,69,61,7,1,0
S00089224,188,148,31,7,2
S00089225,55,53,2,0,0
S00089226,56,53,3,0,0
S00089227,126,119,5,2,0
S00089228,89,81,8,0,0
S00089229,95,80,12,2,1
S00089230,97,94,3,0,0
S00089231,85,77,6,2,0
S00089232,87,77,10,0,0
S00089233,77,73,3,1,0
S00089234,96,89,7,0,0
S00089235,100,87,9,4,0
S00089236,79,68,10,1,0
S00089237,109,100,6,1,2
S00089238,133,128,5,0,0
S00089239,92,87,4,1,0
S00089240,171,156,14,1,0
S00089241,64,59,5,0,0
S00089242,118,112,5,1,0
S00089243,112,108,4,0,0
S00089244,112,100,12,0,0
S00089245,83,79,4,0,0
S00089246,92,86,4,0,2
S00089247,161,144,14,3,0
S00089248,199,180,17,0,2
S00089249,99,95,4,0,0
S00089250,86,79,7,0,0
S00089251,102,97,4,1,0
S00089252,114,104,9,1,0
S00089253,129,113,14,0,2
S00089254,132,118,11,3,0
S00089255,109,102,7,0,0
S00089256,101,86,13,2,0
S00089257,94,93,1,0,0
S00089258,98,85,11,2,0
S00089259,83,75,8,0,0
S00089260,130,122,8,0,0
S00089261,145,143,2,0,0
S00089262,108,100,7,0,1
S00089263,89,77,9,2,1
S00089264,137,124,13,0,0
S00089265,84,69,14,1,0
S00089266,95,81,12,1,1
S00089267,79,75,4,0,0
S00089268,106,89,13,4,0
S00089269,99,81,15,2,1
S00089270,117,108,8,1,0
S00089271,87,82,3,2,0
S00089272,67,64,2,1,0
S00089273,97,85,9,1,2
S00089274,126,112,13,1,0
S00089275,64,55,8,1,0
S00089276,57,48,7,2,0
S00089277,176,164,11,1,0
S00089278,66,49,16,1,0
S00089279,66,62,4,0,0
S00089280,58,55,3,0,0
S00089281,73,68,4,1,0
S00089282,65,48,13,2,2
S00089283,54,41,13,0,0
